tf,cond,seed,metric,delta,n,family
lef1,relaxed,5,ic_weighted_pcc,-0.015394900883690832,130,induced-fit (test)
lef1,relaxed,5,ic_corr,0.006994904483451799,130,induced-fit (test)
lef1,relaxed,5,mae,0.010950424464849326,130,induced-fit (test)
engrailed,frozen,1,pearsonr,-0.031118181803815315,130,induced-fit (test)
engrailed,frozen,1,spearmanr,-0.0013040757599671608,130,induced-fit (test)
engrailed,frozen,1,auroc,-0.015940182260616394,130,induced-fit (test)
engrailed,frozen,1,ic_weighted_pcc,-0.02160969940875382,130,induced-fit (test)
engrailed,frozen,1,ic_corr,-0.01037015054897178,130,induced-fit (test)
engrailed,frozen,1,mae,0.04258269507151383,130,induced-fit (test)
engrailed,frozen,2,pearsonr,0.01968279726263698,130,induced-fit (test)
engrailed,frozen,2,spearmanr,0.038428282982484796,130,induced-fit (test)
engrailed,frozen,2,auroc,0.00041994677048879167,130,induced-fit (test)
engrailed,frozen,2,ic_weighted_pcc,0.028841759098889884,130,induced-fit (test)
engrailed,frozen,2,ic_corr,0.02270155995426243,130,induced-fit (test)
engrailed,frozen,2,mae,-0.02169815250314199,130,induced-fit (test)
engrailed,frozen,3,pearsonr,0.06516015993575534,130,induced-fit (test)
engrailed,frozen,3,spearmanr,0.09892902211245341,130,induced-fit (test)
engrailed,frozen,3,auroc,0.029401224076678643,130,induced-fit (test)
engrailed,frozen,3,ic_weighted_pcc,0.03578936274617338,130,induced-fit (test)
engrailed,frozen,3,ic_corr,0.03770513624092886,130,induced-fit (test)
engrailed,frozen,3,mae,-0.05214585661888123,130,induced-fit (test)
engrailed,frozen,4,pearsonr,0.015223790874375824,130,induced-fit (test)
engrailed,frozen,4,spearmanr,0.01681802912971015,130,induced-fit (test)
engrailed,frozen,4,auroc,0.007348940077955556,130,induced-fit (test)
engrailed,frozen,4,ic_weighted_pcc,-0.00526701614798503,130,induced-fit (test)
engrailed,frozen,4,ic_corr,0.02724894444182748,130,induced-fit (test)
