variant,pilot,point,label,n,clash_q25,clash_med,clash_q75,pe_med,md_med
dnarelax,hsf,0,init,99,26.5,34,46.0,,0.7
dnarelax,hsf,1,H-min,99,26.5,34,46.0,,0.7
dnarelax,hsf,2,s0.05,109,28,35,45,-20900.0,0.65
dnarelax,hsf,3,s0.1,107,26.0,34,44.5,-19200.0,0.71
dnarelax,hsf,4,s0.2,99,26.0,33,44.0,29300.0,0.83
dnarelax,hsf,5,s0.4,98,16.0,20.0,24.75,-34400.0,1.55
dnarelax,hsf,6,s0.7,98,0.0,0.0,0.0,-35900.0,2.6
dnarelax,hsf,7,s1.0,98,0.0,0.0,0.0,-36000.0,2.6
dnarelax,hsf,64,final,1,0,0,0,-36200.0,2.61
dnarelax,irf,0,init,94,42.25,58.5,71.5,,0.61
dnarelax,irf,1,H-min,94,42.25,58.5,71.5,,0.61
dnarelax,irf,2,s0.05,103,43.5,55,74.5,57000.0,0.49
dnarelax,irf,3,s0.1,102,43.25,55.5,74.75,75600.0,0.69
dnarelax,irf,4,s0.2,94,41.25,53.5,72.75,135500.0,0.755
dnarelax,irf,5,s0.4,93,20,26,36,-57000.0,1.65
dnarelax,irf,6,s0.7,93,0,0,0,-59000.0,2.68
dnarelax,irf,7,s1.0,93,0,0,0,-59200.0,2.68
dnarelax,irf,59,final,1,0,0,0,-59600.0,2.74
