tf,cond,state,bend_uu,bend_pp,shortening,minor_w,major_w,inclin,tip,xdisp,ydisp,minor_w_cp,major_w_cp
csl,relaxed,050,32.2332,27.481,2.2949,5.9791,12.19,6.5039,-0.3175,-0.9646,-0.0132,6.0456,12.0587
csl,relaxed,051,32.9874,32.6645,2.348,6.33,12.6476,5.801,-1.2497,-0.9115,0.0697,6.2767,12.5225
csl,relaxed,052,24.4771,23.3577,2.0968,6.1753,11.7238,8.5523,0.1805,-0.8877,0.1399,6.4675,11.7275
csl,relaxed,053,32.6343,31.1344,2.1121,6.0165,12.233,6.8901,-3.6469,-0.736,0.1355,5.9833,12.3711
csl,relaxed,054,30.4162,26.9661,2.2671,6.2639,12.3854,6.7536,-1.3067,-0.9429,0.1299,6.1378,12.4337
csl,relaxed,055,29.4321,30.6226,1.9811,6.0227,12.4946,6.5452,-2.6333,-0.95,-0.1671,5.9622,12.4622
csl,relaxed,056,29.4602,28.0495,2.0878,6.2627,12.0919,7.4062,-1.4971,-0.9706,-0.0081,6.1044,12.1212
csl,relaxed,057,26.9656,19.3595,1.9348,5.9756,12.5916,7.6871,-3.9558,-1.1795,-0.1273,5.8567,12.455
csl,relaxed,058,33.9063,30.4128,2.9185,6.0021,11.958,7.3594,-2.1323,-0.9761,-0.0964,5.92,11.9537
csl,relaxed,059,31.0419,28.6034,2.7044,6.4712,11.7737,5.9386,-1.4089,-0.8687,0.0976,6.1844,11.8375
csl,relaxed,060,34.9561,32.4674,2.5878,6.448,11.89,7.7795,-1.4865,-0.7704,0.0573,6.3433,12.1156
csl,relaxed,061,40.5446,33.9532,6.7936,6.7895,12.0394,7.5363,-7.449,-0.5768,0.4418,6.4337,12.2538
csl,relaxed,062,31.0886,32.4107,2.1706,6.2439,11.6354,8.0569,-0.0566,-1.2026,-0.0519,6.2133,11.9989
csl,relaxed,063,33.8259,35.2295,2.1033,6.3985,12.143,7.14,-0.9075,-1.1185,-0.0619,6.3989,12.3878
csl,relaxed,064,17.953,8.13,2.0457,6.8435,12.4833,5.6488,-1.0374,-0.8939,-0.1928,6.243,12.2267
csl,relaxed,065,31.1064,28.3964,2.4969,6.1933,12.0196,7.9992,0.3835,-0.974,0.0551,6.1278,12.1578
csl,relaxed,066,32.746,26.5975,2.6543,6.7832,12.1762,7.5588,-0.5263,-1.1456,0.0855,6.506,11.8557
csl,relaxed,067,16.2486,18.4072,2.3095,6.4103,11.0052,-19.4575,53.0034,0.2982,0.5411,6.7157,11.3943
csl,relaxed,068,37.2943,38.7273,4.1415,6.3478,12.4877,4.8355,-5.2033,-0.5929,0.4001,6.6033,12.6163
csl,relaxed,069,28.4289,27.5586,1.6984,6.1318,11.905,6.3185,-1.264,-0.8596,0.1871,6.1622,12.1522
csl,relaxed,070,36.398,40.149,3.0422,5.9852,12.1848,8.4806,-3.5894,-1.177,0.065,5.8956,12.23
csl,relaxed,071,33.1514,37.7556,2.634,6.4248,12.3092,8.614,-2.2048,-1.0637,-0.1128,6.2267,12.3637
csl,relaxed,072,28.9166,25.9661,1.8342,5.5691,12.8828,6.603,-2.4427,-0.9379,-0.06,5.4589,12.83
csl,relaxed,073,30.5412,30.4714,1.8799,6.5909,10.9132,9.9084,-0.9084,-0.8468,0.0432,6.5356,11.3475
csl,relaxed,074,29.0085,29.0575,2.3575,6.3541,11.6612,8.1824,-0.7012,-1.0139,-0.1057,6.4089,11.9111
csl,relaxed,075,28.8754,30.4715,2.5647,6.1065,11.6362,7.9409,-5.2374,-1.0084,0.0395,6.1133,11.845
csl,relaxed,076,30.3059,26.5914,2.2525,6.0882,12.0204,7.4627,0.2335,-1.0081,-0.0611,5.9467,12.1188
csl,relaxed,077,34.0594,37.0172,2.9042,6.1841,12.2046,6.4307,0.8066,-1.1098,-0.015,6.1356,12.1837
csl,relaxed,078,32.3054,37.1391,2.9382,6.0866,12.3408,5.7606,-1.0872,-0.992,0.1661,5.9911,12.4033
csl,relaxed,079,33.3125,29.2681,2.3277,5.7582,13.0273,5.0502,-3.0056,-0.8804,0.0577,5.7733,12.8911
csl,relaxed,080,35.4698,42.1602,3.529,6.7024,11.2708,7.5607,-0.4636,-0.3774,0.1277,6.7044,11.4663
csl,relaxed,082,35.7406,40.4098,3.8036,5.5326,13.0442,5.7542,-0.4043,-1.2568,-0.6997,5.8613,12.8425
csl,relaxed,083,32.5066,26.3298,3.0585,6.3094,12.612,6.5092,-0.7875,-1.1013,0.0571,6.2911,12.7911
csl,relaxed,084,30.6504,33.7877,2.0429,6.3591,11.2688,8.6824,-1.4794,-1.006,-0.0821,6.5622,11.4062
csl,relaxed,085,28.8216,26.4569,1.6872,6.1268,12.3556,8.0134,-1.0555,-0.9392,0.1626,6.1467,12.4112
csl,relaxed,086,28.2493,23.5358,1.9185,6.1891,11.3716,7.5183,-1.421,-1.1257,0.0531,6.07,11.4625
csl,relaxed,088,30.1438,30.3748,2.1483,6.2385,11.5477,6.6117,-0.6641,-0.9346,0.0272,6.1944,11.2214
csl,relaxed,089,27.1563,33.6385,3.0573,6.3009,12.3146,7.3882,-2.9152,-0.6927,-0.6134,6.09,12.3278
csl,relaxed,090,24.4451,20.7406,3.6215,6.5951,12.453,5.9325,-1.0183,-0.7559,-0.4457,5.4112,12.7425
csl,relaxed,091,33.6824,33.6041,2.642,6.3812,12.6293,4.4965,-4.4331,-0.8646,0.0452,6.2656,12.7125
csl,relaxed,092,29.6001,27.9441,2.6646,6.0712,12.1688,7.2306,-1.5496,-1.0396,0.0742,5.9311,12.3075
dux4,crystal,crystal,9.4996,13.7655,2.0062,6.3576,11.2184,5.9535,-0.9093,-0.9226,-0.0314,6.3873,11.3185
dux4,frozen,001,71.4513,67.9264,49.0485,7.1096,12.0261,4.3509,28.639,-0.1502,0.1088,6.6747,10.8067
dux4,frozen,002,9.5872,15.6454,11.0732,5.76,12.0291,7.668,6.5544,-0.8689,-0.6837,5.9365,12.2525
dux4,frozen,003,35.855,41.5034,29.0267,7.4775,11.7525,11.5248,-3.4981,-1.3521,0.174,6.3218,11.8257
dux4,frozen,004,52.5046,94.9402,27.7291,7.6598,12.1983,4.5696,-6.2858,-0.6028,0.758,6.0938,11.8393
dux4,frozen,005,33.2194,33.8677,11.1456,6.3435,10.5896,2.7965,0.2595,0.2759,-0.2704,6.4533,10.8621
dux4,frozen,006,22.5039,22.5611,24.8611,6.2276,12.6641,7.3534,4.0684,-0.7841,-0.4345,6.0186,13.4521
dux4,frozen,007,15.2233,19.9666,33.1524,6.0148,13.5088,4.0776,-0.8511,-0.1087,0.7469,5.8268,13.0515
dux4,frozen,008,26.9184,34.5376,11.2932,6.6465,11.3823,-0.4048,-17.4518,0.1587,0.1708,6.7,11.0831
dux4,frozen,009,44.2533,48.2548,49.252,8.3218,12.3198,10.7127,4.4513,-0.8606,-0.543,6.1114,12.322
dux4,frozen,010,25.3534,28.5438,23.6654,7.0337,12.2405,6.7079,9.6756,-0.4856,-0.4817,6.3033,12.2906
dux4,frozen,011,10.5243,7.9634,33.8901,5.8008,12.5225,6.3291,0.4153,-0.6695,-0.6664,4.6405,12.5012
dux4,frozen,012,50.2824,55.3241,29.2997,7.3819,11.9989,6.3205,-6.901,-0.7215,0.3785,6.1183,11.7928
dux4,frozen,013,25.1946,31.1813,28.7198,5.9041,12.1674,13.4847,18.4669,-0.7157,-0.5128,5.9314,11.9475
dux4,frozen,014,10.1966,8.1997,1.6137,6.1271,11.6348,6.5841,-0.9656,-1.0118,-0.1315,6.1667,11.7446
dux4,frozen,015,20.1995,12.0449,23.8431,8.0173,12.038,4.6032,0.081,-0.175,0.4299,9.1089,10.8973
dux4,frozen,016,156.6162,104.6584,49.0082,5.8085,11.3509,9.5722,12.2001,-0.6572,0.1835,5.8389,11.8775
dux4,frozen,017,25.3196,35.6963,7.0218,6.0794,11.3093,11.2139,1.4223,-1.0774,-0.8117,6.06,11.25
dux4,frozen,018,34.8784,40.1715,18.0898,6.316,11.5456,4.8582,0.8625,-0.5576,-0.0187,6.1919,11.9779
dux4,frozen,019,43.959,37.8881,45.2639,7.7537,11.7397,6.7372,1.1809,-0.2286,-0.4905,6.7531,13.1706
dux4,frozen,020,4.5901,10.5755,26.9433,6.3535,12.4266,6.4142,-2.1421,0.0043,0.2491,6.4556,11.1073
dux4,frozen,021,35.0339,39.9229,25.0149,5.3973,11.858,10.4894,11.6286,-0.7684,0.2167,6.0761,12.3505
dux4,frozen,022,7.3066,12.4051,33.5474,5.9987,10.6884,6.0498,0.5837,0.4851,1.0049,6.1937,10.7509
dux4,frozen,023,35.5271,48.7965,14.2456,5.7433,11.8613,9.34,-1.1051,-0.1588,-0.4909,6.0681,11.6275
dux4,frozen,024,29.6806,32.54,36.0713,6.3368,11.2665,9.2208,12.5517,-0.5722,0.1333,7.0778,10.4955
dux4,frozen,025,33.1428,55.7302,5.9793,6.6008,11.2656,11.2806,0.2628,-0.5366,-0.2699,6.5613,11.2092
dux4,frozen,026,10.9499,11.5543,20.1039,6.7672,12.8505,6.3787,4.4834,-0.5616,-0.4365,7.5812,12.2846
dux4,frozen,027,17.6829,19.5224,27.262,6.4401,12.2046,8.048,2.7696,-0.529,-0.5277,6.3153,11.7236
dux4,frozen,029,74.2078,82.5264,42.6812,6.1252,12.1835,-1.5477,-1.3226,0.1074,-0.7346,6.2858,11.8778
dux4,frozen,030,2.8485,7.1188,2.2892,6.6754,10.894,10.475,-0.2734,-1.2508,-0.2626,6.604,11.0677
dux4,frozen,031,9.0608,8.3212,49.3616,6.6463,12.6701,7.2887,9.5114,-1.3433,1.4026,6.0978,12.1211
dux4,frozen,032,20.7458,25.2435,10.8783,6.2898,11.1067,5.3589,4.4804,-0.7692,-0.3264,6.2462,11.2893
dux4,frozen,033,20.0776,21.1503,4.271,5.9163,11.352,7.2657,4.5094,-1.2183,-0.2695,5.9207,11.5754
dux4,frozen,034,76.2692,94.0267,47.5291,6.6149,10.7202,9.6859,-2.3804,0.454,1.1527,6.045,11.4555
dux4,frozen,035,47.984,51.0639,18.3987,6.5819,12.4931,0.5036,2.4125,0.3483,-0.0548,6.7417,11.5653
dux4,frozen,036,125.3653,130.0086,41.9939,5.7572,13.5889,5.0594,3.9827,-0.0908,-0.0902,6.1445,13.9533
