tf,cond,state,bend_uu,bend_pp,shortening,minor_w,major_w,inclin,tip,xdisp,ydisp,minor_w_cp,major_w_cp
dux4,frozen,064,4.1776,1.8883,11.3767,5.6294,11.9477,6.3936,6.5795,-0.1643,-0.7852,5.0822,11.8086
dux4,frozen,065,16.0105,19.8161,6.4711,6.6474,10.978,7.5849,-3.3085,-0.6961,0.1932,6.3013,11.3831
dux4,frozen,066,69.2795,62.6872,35.7467,5.9104,12.0713,13.7769,-4.9962,-1.0688,-0.1502,5.7527,11.27
dux4,frozen,067,40.95,58.1474,42.104,5.6745,12.9104,6.911,-0.893,-0.2777,-0.0895,6.3258,12.6181
dux4,frozen,068,19.8541,12.3615,18.9703,5.6889,13.1386,9.3158,-0.5805,-0.789,-0.4601,5.78,12.1592
dux4,frozen,069,44.3328,53.0245,18.11,5.5266,11.9151,7.5414,4.4398,-0.1474,-0.0682,5.6454,12.2183
dux4,frozen,070,18.3988,9.7917,12.4997,7.1945,11.0579,10.9013,-0.2804,-0.9111,0.1093,6.482,10.9667
dux4,frozen,071,19.3598,17.7814,38.6238,9.8397,13.1172,3.5841,-1.9981,-0.1019,0.0233,7.2166,12.1184
dux4,frozen,072,19.7521,23.247,9.0971,9.17,11.2814,16.2525,3.5111,-1.3697,-0.9515,8.545,13.4033
dux4,frozen,073,37.4749,42.018,30.547,6.7243,12.11,10.5265,1.641,-0.4671,0.1567,7.6273,12.7376
dux4,frozen,074,15.3775,16.1949,9.3953,6.8559,12.074,7.5034,9.9835,-1.5898,-0.5863,6.505,11.4031
dux4,frozen,075,37.3816,45.7785,25.5256,6.5027,12.3175,1.0959,19.2167,-0.1309,0.404,6.3332,11.5
dux4,frozen,076,15.2087,30.0251,11.5467,6.5395,10.5275,3.6729,-0.5544,0.4246,0.0806,6.4038,10.54
dux4,frozen,077,19.7163,30.7481,5.6694,6.2088,11.219,8.635,-2.0019,-0.8871,0.4146,5.9775,11.3871
dux4,frozen,078,84.139,86.291,23.5312,6.133,11.6069,-0.5879,-14.8317,-0.1856,0.7861,6.6813,11.7613
dux4,frozen,079,148.4744,27.3006,39.8227,6.41,11.0624,7.5577,-4.6217,-0.5674,-0.1444,6.636,11.4229
dux4,frozen,080,93.4041,87.09,44.7027,7.2911,12.1809,-0.9752,18.4908,-0.2701,-0.156,6.4456,11.8427
dux4,frozen,081,28.3575,36.5997,9.4038,6.9381,10.5188,11.3735,2.1701,0.0858,-0.4614,6.9055,10.7008
dux4,frozen,082,22.8213,24.3177,26.4745,6.7485,13.4734,8.4493,0.6907,-0.4417,0.0948,5.735,12.3982
dux4,frozen,083,28.8575,39.2761,7.8963,5.6212,11.7029,7.7667,-2.2601,-0.5538,0.6958,5.73,11.71
dux4,frozen,084,34.934,52.3015,27.0374,7.3456,11.4265,5.1965,3.7639,-0.5218,-0.4048,6.6506,11.59
dux4,frozen,085,17.2383,18.6892,21.335,5.4956,12.7159,10.5825,-0.571,0.0996,0.2378,5.3356,11.9831
