arm,tf,cond,seed,run,n_epochs,best_epoch,val_min_epoch,val_loss_min,val_loss_final,val_rise_after_min,final_train_val_gap,gap_at_best
baseline,runx,frozen,3,baseline_runx_fold0_s3,50,27.0,27,0.6088898514871611,0.6492439910052678,0.040354139518106624,0.2398475507074509,0.13598045057147862
baseline,nfat,frozen,2,baseline_nfat_fold0_s2,50,23.0,23,0.642369085623869,0.6973706607065624,0.05500157508269343,0.3148260124120939,0.1720681149977369
baseline,tbp,frozen,5,baseline_tbp_fold0_s5,50,36.0,36,0.6365534463060896,0.6530214781320874,0.016468031825997875,0.22071842406905706,0.1635081557122518
augmented,egr1,relaxed,2,augmented_egr1_fold0_dnarelax_s2,50,40.0,40,0.6807051801318283,0.6976042504272942,0.01689907029546589,0.2921967032751456,0.22609522347558175
augmented,engrailed,frozen,1,augmented_engrailed_fold0_s1,50,40.0,40,0.7030193430603274,0.7080614118088939,0.005042068748566497,0.3176138794654346,0.30290054451848153
baseline,engrailed,frozen,0,baseline_engrailed_fold0,50,37.0,37,0.6581948281040741,0.764598635367267,0.10640380726319287,0.3724551739021079,0.23512143901167148
augmented,nfat,frozen,1,augmented_nfat_fold0_s1,50,40.0,40,0.6386895561422714,0.6461441574732839,0.0074546013310125,0.22193183116260928,0.1880620658394936
augmented,foxa,frozen,4,augmented_foxa_fold0_s4,50,47.0,47,0.631535005137329,0.6555159513323771,0.023980946195048092,0.2562207978714783,0.2034519740331528
baseline,foxa,relaxed,5,baseline_foxa_fold0_dnarelax_s5,50,42.0,42,0.6435321834701847,0.67710084749032,0.03356866402013525,0.2578428975098328,0.19822267187644493
augmented,ets1,relaxed,5,augmented_ets1_fold0_dnarelax_s5,50,33.0,33,0.6474067083821722,0.6778108917647844,0.030404183382612193,0.3343552188867112,0.26914721427838195
augmented,err,frozen,2,augmented_err_fold0_s2,50,33.0,33,0.6231773076998482,0.6289409999269763,0.0057636922271280255,0.203228838057537,0.14700804777433057
baseline,runx,frozen,0,baseline_runx_fold0,50,32.0,32,0.6493593802850832,0.7228198207519131,0.07346044046682987,0.30018524030592875,0.17636499272348682
augmented,nfat,frozen,2,augmented_nfat_fold0_s2,50,23.0,23,0.6513277441121853,0.678765535424558,0.027437791312372672,0.28331313445345985,0.17206407931069168
augmented,foxa,relaxed,4,augmented_foxa_fold0_dnarelax_s4,50,24.0,24,0.668126218397469,0.6957022645327496,0.02757604613528064,0.31922857033052654,0.2260946294334552
augmented,lef1,frozen,5,augmented_lef1_fold0_s5,50,17.0,17,0.6337803610352941,0.6759595215279385,0.04217916049264436,0.276507693658415,0.11537270206474115
baseline,egr1,frozen,1,baseline_egr1_fold0_s1,50,33.0,33,0.6417581340618155,0.6494036199657688,0.0076454859039533085,0.26420781995811754,0.21717332768506437
augmented,lef1,relaxed,4,augmented_lef1_fold0_dnarelax_s4,50,37.0,37,0.6593768547216979,0.6854473777980832,0.026070523076385244,0.2883818441995714,0.2238653566606894
baseline,ets1,relaxed,4,baseline_ets1_fold0_dnarelax_s4,50,38.0,38,0.6292486726261051,0.6586999920345725,0.029451319408467458,0.26495492417801897,0.19461086199325173
augmented,tbp,relaxed,4,augmented_tbp_fold0_dnarelax_s4,50,46.0,46,0.658152414818422,0.6660786484586197,0.007926233640197733,0.28317386749040757,0.24917458418303107
baseline,ets1,frozen,0,baseline_ets1_fold0,50,21.0,21,0.6169619430521143,0.6571406270736098,0.04017868402149549,0.25709748795818593,0.10579917948966155
baseline,egr1,relaxed,5,baseline_egr1_fold0_dnarelax_s5,50,24.0,24,0.617935684195846,0.6587359609984692,0.040800276802623214,0.24858285957112064,0.14012914343944333
baseline,foxa,frozen,5,baseline_foxa_fold0_s5,50,21.0,21,0.6319612533854151,0.653170801937651,0.02120954855223589,0.26189000758002684,0.1447017741056203
baseline,csl,frozen,1,baseline_csl_fold0_s1,50,36.0,36,0.6190271114755619,0.634136324094797,0.015109212619235146,0.22534619133345452,0.1761342308487524
augmented,tbp,frozen,5,augmented_tbp_fold0_s5,50,35.0,35,0.6733119019447655,0.69319480181956,0.019882899874794413,0.35330413457595206,0.2951318050760383
baseline,egr1,relaxed,1,baseline_egr1_fold0_dnarelax_s1,50,30.0,30,0.6475005081023397,0.676248976269736,0.02874846816739629,0.2700216818381598,0.19017556752108528
baseline,err,frozen,1,baseline_err_fold0_s1,50,49.0,49,0.6230525418652533,0.6355796098809036,0.012527068015650289,0.22097987956940118,0.20774948575978558
augmented,ets1,frozen,3,augmented_ets1_fold0_s3,50,39.0,39,0.6708844087411999,0.6826864969353331,0.011802088194133198,0.3019076643091845,0.2690074690488502
baseline,ets1,frozen,4,baseline_ets1_fold0_s4,50,43.0,43,0.6020120082848032,0.6089790451012381,0.006967036816434957,0.2229610358291093,0.19280789291338046
baseline,runx,frozen,1,baseline_runx_fold0_s1,50,10.0,10,0.6281528572414004,0.6718872003406476,0.043734343099247286,0.3052714279166417,0.06026555168960168
augmented,egr1,relaxed,4,augmented_egr1_fold0_dnarelax_s4,50,44.0,44,0.7189386184009882,0.7496341230389384,0.030695504637950233,0.3648085539354445,0.3171986531280684
baseline,lef1,frozen,4,baseline_lef1_fold0_s4,50,35.0,35,0.6702099322455617,0.7115359521967152,0.04132601995115348,0.3299040792660268,0.26005691698888783
augmented,lef1,relaxed,2,augmented_lef1_fold0_dnarelax_s2,50,35.0,35,0.6448341904292743,0.6688502212616994,0.024016030832425095,0.27222902895687046,0.187342809262543
augmented,tbp,frozen,4,augmented_tbp_fold0_s4,50,29.0,29,0.674710773964522,0.7307159739653667,0.056005200000844746,0.3876405921623941,0.276051323046749
augmented,lef1,relaxed,1,augmented_lef1_fold0_dnarelax_s1,50,45.0,45,0.6750222705304941,0.721706877200465,0.046684606669970874,0.2855444862171537,0.23576880364914965
augmented,egr1,frozen,0,augmented_egr1_fold0,50,43.0,43,0.7082707540472457,0.7530078946204363,0.04473714057319056,0.3771946637542539,0.32294805085845
