cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
relaxed,063,0.6225,34.39,34.25,-0.15,7.105
relaxed,064,0.571,34.4,36.75,2.35,7.105
relaxed,065,0.6727,34.39,34.39,-0.01,7.119
relaxed,066,0.5581,34.4,34.31,-0.08,7.061
relaxed,067,0.6933,34.4,35.34,0.95,7.234
relaxed,068,0.8392,34.39,32.5,-1.89,7.144
relaxed,069,2.3971,34.4,37.01,2.61,8.207
relaxed,070,1.1422,34.39,33.44,-0.95,7.362
relaxed,071,0.5295,34.39,35.42,1.02,7.12
relaxed,072,1.7485,34.39,39.38,4.99,7.804
relaxed,073,0.5649,34.39,34.56,0.16,7.242
relaxed,074,0.5218,34.39,34.23,-0.16,7.033
relaxed,075,0.3534,34.39,34.48,0.08,7.104
relaxed,076,0.6492,34.39,34.52,0.13,7.104
relaxed,077,0.0559,34.39,34.07,-0.33,6.912
relaxed,078,0.5191,34.4,34.13,-0.26,7.086
relaxed,079,0.8978,34.39,38.91,4.52,7.409
relaxed,080,0.6041,34.39,35.49,1.1,7.135
relaxed,081,0.6461,34.39,34.99,0.59,7.103
relaxed,082,1.8998,34.39,35.9,1.51,7.664
relaxed,083,0.6859,34.39,39.19,4.8,7.243
relaxed,084,0.4157,34.39,32.92,-1.47,7.084
relaxed,085,0.6503,34.39,35.33,0.94,7.146
relaxed,086,0.5019,34.4,34.99,0.6,7.136
relaxed,087,0.777,34.39,36.57,2.18,7.408
relaxed,088,0.482,34.39,33.54,-0.85,7.126
relaxed,089,0.3397,34.39,34.05,-0.34,7.201
relaxed,090,0.6989,34.39,34.83,0.43,7.214
relaxed,091,0.6609,34.39,35.79,1.4,7.129
relaxed,092,0.5654,34.4,33.91,-0.48,7.105
relaxed,093,0.4613,34.39,34.67,0.28,7.177
relaxed,094,0.599,34.39,33.74,-0.65,7.179
relaxed,095,0.5685,34.4,34.9,0.51,7.087
relaxed,096,0.7526,34.4,33.67,-0.73,7.152
relaxed,097,0.7295,34.39,36.43,2.04,7.191
relaxed,098,0.6352,34.39,33.57,-0.82,7.062
