cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
relaxed,077,0.0322,110.1,110.1,-0.0,7.401
relaxed,078,0.9068,110.1,108.28,-1.82,7.659
relaxed,079,0.6263,110.1,108.53,-1.58,7.74
relaxed,080,0.6427,110.1,108.99,-1.11,7.767
relaxed,081,0.7231,110.1,108.51,-1.6,7.68
relaxed,082,0.8313,110.1,107.59,-2.52,7.655
relaxed,083,0.7147,110.1,108.96,-1.14,7.675
relaxed,084,0.7975,110.1,109.4,-0.7,7.79
relaxed,085,0.5883,110.1,108.84,-1.26,7.704
relaxed,086,0.6494,110.1,109.09,-1.01,7.762
relaxed,087,0.613,110.1,108.16,-1.94,7.772
relaxed,088,0.6765,110.1,108.91,-1.19,7.657
relaxed,089,0.6188,110.1,108.95,-1.16,7.692
relaxed,090,1.0621,110.1,108.71,-1.39,7.68
relaxed,091,0.7186,110.1,108.12,-1.98,7.616
relaxed,092,0.7841,110.1,109.01,-1.09,7.711
relaxed,093,0.7014,110.1,109.45,-0.65,7.773
relaxed,094,0.6479,110.1,109.32,-0.78,7.721
relaxed,095,0.5752,110.1,109.81,-0.29,7.677
relaxed,096,0.8951,110.1,110.53,0.42,8.484
relaxed,097,0.6166,110.1,108.84,-1.26,7.783
