tf,dna,selffam,n_seeds,n_entries,dP_mean,dP_lo,dP_hi,dP_p,dMAE_mean,n_neg_seeds
hsf,frozen,True,5,3,0.03662900763059342,-0.05528736738847636,0.1285453826496632,0.3306038914682202,-0.062107636531194034,2
hsf,relax,False,5,127,0.019951278417765828,-0.019914528086574502,0.05981708492210616,0.23702389144465283,-0.0015924331006102576,1
hsf,relax,True,5,3,0.050842789433081605,-0.04836080695954447,0.15004638582570767,0.2278328517952154,-0.05183712840080261,1
irf,frozen,False,5,126,-0.014524077894877752,-0.03865402190866496,0.009605866118909453,0.17000697075074275,0.01596085230509443,3
irf,frozen,True,5,4,0.03319295707042327,-0.08266093516807718,0.14904684930892373,0.47087544787790897,-0.10316814780235291,2
irf,relax,False,5,126,-0.009859918649320055,-0.04450435014630394,0.024784512847663833,0.47362776028442277,0.006382360770588802,4
irf,relax,True,5,4,-0.05247233460162533,-0.19888691613969367,0.09394224693644303,0.37604103286294116,0.05257508158683778,3
lef1,frozen,False,5,130,-0.00668410803133559,-0.05775787521819213,0.044389659155520955,0.7347265299777141,-0.0010745295194479088,3
lef1,relax,False,5,130,0.039222169860595,-0.11993060476658067,0.19837494448777065,0.5314104611969841,-0.05026077359914782,4
nfat,frozen,False,5,115,-0.03320462545069691,-0.09163027081912103,0.025221019917727204,0.18972290838232858,0.03316040337085722,4
nfat,frozen,True,5,15,0.015104074315557802,-0.041507093634723685,0.0717152422658393,0.4999624727834653,0.004250013232231153,2
nfat,relax,False,5,115,0.00034890735040671306,-0.018171533702078725,0.01886934840289215,0.9607931709236388,0.00029631135256396045,2
nfat,relax,True,5,15,-0.003817140692833609,-0.09654313207217746,0.08890885068651025,0.9145115313505947,-0.00914422591527302,3
runx,frozen,False,6,125,-0.0029707420397516726,-0.014565267699657419,0.008623783620154073,0.539247422777525,0.008098437388737981,5
runx,frozen,True,6,5,0.08406587740701744,-0.04748008423571108,0.21561183904974596,0.16135496056218893,-0.09032453099886578,2
runx,relax,False,5,125,0.012959241955419688,-0.026421480987721378,0.052339964898560756,0.4125853861310321,-0.01280804648399354,2
runx,relax,True,5,5,0.09421143564337395,0.02011440269307553,0.16830846859367238,0.02422751456687687,-0.13373096585273742,1
tbp,frozen,False,6,124,-0.014461312271127347,-0.04762515503676733,0.018702530494512634,0.31325285894571553,0.024135692605888975,4
tbp,frozen,True,6,6,-0.030912220067060663,-0.14378498416491864,0.0819605440307973,0.5128585115594894,0.04277609619829392,3
tbp,relax,False,5,124,-0.0415125586276611,-0.08211522179423364,-0.000909895461088564,0.04693106583374881,0.049515869204075066,5
tbp,relax,True,5,6,0.007879471810730076,-0.13840682072859473,0.15416576435005486,0.8883580433744283,-0.001172327995300293,2
