pilot,source,pairwise_ca_rmsd
ets1,bioemu,2.5125
ets1,bioemu,2.8343
ets1,bioemu,2.552
ets1,bioemu,3.1971
ets1,bioemu,2.6071
ets1,bioemu,2.9415
ets1,bioemu,2.6672
ets1,bioemu,2.4539
ets1,bioemu,2.7915
ets1,bioemu,2.7099
ets1,bioemu,2.5634
ets1,bioemu,2.8161
ets1,bioemu,2.832
ets1,bioemu,3.026
ets1,bioemu,2.67
ets1,bioemu,2.886
ets1,bioemu,2.6987
ets1,bioemu,2.4784
ets1,bioemu,2.8682
ets1,bioemu,3.0093
ets1,bioemu,2.531
ets1,bioemu,2.5353
ets1,bioemu,2.6444
ets1,bioemu,2.8933
ets1,bioemu,2.7862
ets1,bioemu,2.9476
ets1,bioemu,2.8159
ets1,bioemu,2.5126
ets1,bioemu,2.5041
ets1,bioemu,2.3943
ets1,bioemu,3.0905
ets1,bioemu,2.6401
ets1,bioemu,2.8913
ets1,bioemu,2.6608
ets1,bioemu,2.6665
ets1,bioemu,1.8944
ets1,bioemu,3.6646
ets1,bioemu,1.6464
ets1,bioemu,1.9084
ets1,bioemu,1.5702
ets1,bioemu,1.7407
ets1,bioemu,1.4891
ets1,bioemu,1.5792
ets1,bioemu,1.5247
ets1,bioemu,1.6931
ets1,bioemu,1.5884
ets1,bioemu,1.737
ets1,bioemu,1.699
ets1,bioemu,1.8049
ets1,bioemu,2.3304
ets1,bioemu,1.8641
ets1,bioemu,1.9044
ets1,bioemu,2.5323
ets1,bioemu,1.4894
ets1,bioemu,1.9036
ets1,bioemu,1.885
ets1,bioemu,1.6041
ets1,bioemu,1.5767
ets1,bioemu,1.8669
ets1,bioemu,1.5044
ets1,bioemu,1.5253
ets1,bioemu,1.9013
ets1,bioemu,1.5345
ets1,bioemu,3.1649
ets1,bioemu,1.4488
ets1,bioemu,2.2329
ets1,bioemu,1.6983
ets1,bioemu,1.6017
ets1,bioemu,2.7505
ets1,bioemu,1.9377
ets1,bioemu,1.4408
ets1,bioemu,1.6883
ets1,bioemu,1.7929
ets1,bioemu,1.9165
ets1,bioemu,1.9504
ets1,bioemu,2.0132
ets1,bioemu,1.8807
ets1,bioemu,1.7811
ets1,bioemu,1.8599
ets1,bioemu,1.6761
ets1,bioemu,1.9447
ets1,bioemu,1.7803
ets1,bioemu,1.3043
ets1,bioemu,1.6033
ets1,bioemu,1.9997
ets1,bioemu,2.4873
ets1,bioemu,1.8755
ets1,bioemu,1.9409
ets1,bioemu,1.9605
ets1,bioemu,1.8605
ets1,bioemu,2.0757
ets1,bioemu,1.5445
ets1,bioemu,1.8981
ets1,bioemu,1.9185
ets1,bioemu,1.6591
ets1,bioemu,2.1738
ets1,bioemu,2.0684
ets1,bioemu,1.6655
ets1,bioemu,2.0678
ets1,bioemu,1.552
ets1,bioemu,1.8522
ets1,bioemu,1.7263
ets1,bioemu,1.952
ets1,bioemu,1.8951
ets1,bioemu,1.5576
ets1,bioemu,2.4768
ets1,bioemu,1.5696
ets1,bioemu,1.4519
ets1,bioemu,1.9391
ets1,bioemu,1.4613
ets1,bioemu,1.8206
ets1,bioemu,2.0243
ets1,bioemu,1.6503
ets1,bioemu,1.5057
ets1,bioemu,1.9825
ets1,bioemu,1.8712
ets1,bioemu,1.951
ets1,bioemu,1.6905
ets1,bioemu,1.9247
ets1,bioemu,1.4264
ets1,bioemu,1.7663
ets1,bioemu,1.7171
ets1,bioemu,1.8741
ets1,bioemu,1.5657
ets1,bioemu,1.8291
ets1,bioemu,1.9721
ets1,bioemu,1.7509
ets1,bioemu,1.7802
ets1,bioemu,1.6088
ets1,bioemu,1.5208
ets1,bioemu,3.6979
ets1,bioemu,1.7229
ets1,bioemu,1.5047
ets1,bioemu,1.2525
ets1,bioemu,1.2767
ets1,bioemu,1.6765
ets1,bioemu,1.2949
ets1,bioemu,1.4942
ets1,bioemu,1.4501
ets1,bioemu,1.5802
ets1,bioemu,1.2912
ets1,bioemu,1.3744
ets1,bioemu,1.3629
ets1,bioemu,1.3278
ets1,bioemu,1.6436
ets1,bioemu,1.1812
ets1,bioemu,2.3196
ets1,bioemu,1.3378
ets1,bioemu,1.8734
ets1,bioemu,1.3301
ets1,bioemu,1.7012
ets1,bioemu,1.7246
ets1,bioemu,2.174
ets1,bioemu,1.3006
ets1,bioemu,1.5125
ets1,bioemu,1.5826
ets1,bioemu,1.3256
ets1,bioemu,3.8471
ets1,bioemu,1.5149
ets1,bioemu,2.1208
ets1,bioemu,1.408
ets1,bioemu,1.8337
ets1,bioemu,2.2947
ets1,bioemu,1.4323
ets1,bioemu,1.6554
ets1,bioemu,1.1799
ets1,bioemu,1.7764
ets1,bioemu,1.4337
ets1,bioemu,1.3694
ets1,bioemu,1.8614
ets1,bioemu,1.7116
ets1,bioemu,1.2503
ets1,bioemu,1.458
ets1,bioemu,1.4849
ets1,bioemu,1.5871
ets1,bioemu,1.2809
ets1,bioemu,1.7312
ets1,bioemu,1.3823
ets1,bioemu,1.6132
ets1,bioemu,1.5659
ets1,bioemu,1.553
ets1,bioemu,1.3256
ets1,bioemu,1.6043
ets1,bioemu,1.7463
ets1,bioemu,1.6576
ets1,bioemu,1.566
ets1,bioemu,1.3045
ets1,bioemu,1.3101
ets1,bioemu,1.588
ets1,bioemu,1.3755
ets1,bioemu,2.0579
ets1,bioemu,1.5471
ets1,bioemu,1.4791
ets1,bioemu,1.4316
ets1,bioemu,1.3432
ets1,bioemu,1.3654
ets1,bioemu,1.4496
ets1,bioemu,1.0344
ets1,bioemu,1.2814
ets1,bioemu,2.5004
ets1,bioemu,1.5194
ets1,bioemu,1.5206
ets1,bioemu,1.9497
ets1,bioemu,1.2155
ets1,bioemu,1.2887
ets1,bioemu,1.4676
ets1,bioemu,1.4973
ets1,bioemu,1.4269
ets1,bioemu,1.3963
ets1,bioemu,1.4902
ets1,bioemu,1.1553
ets1,bioemu,1.6869
ets1,bioemu,1.7687
