pilot,stage,state,ca_rmsd,nres
egr1,stage2,055,1.1265,85
egr1,stage2,056,2.9425,85
egr1,stage2,057,1.9977,85
egr1,stage2,058,0.9307,85
egr1,stage2,059,1.7188,85
egr1,stage2,060,2.7129,85
egr1,stage2,061,2.2612,85
egr1,stage2,062,1.091,85
egr1,stage2,063,1.0922,85
egr1,stage2,064,1.6248,85
egr1,stage2,065,2.0113,85
egr1,stage2,066,1.3958,85
egr1,stage2,067,0.9728,85
egr1,stage2,068,1.6773,85
egr1,stage2,069,12.482,85
egr1,stage2,070,5.1993,85
egr1,stage2,071,0.9851,85
egr1,stage2,072,9.6331,85
egr1,stage2,073,1.0687,85
egr1,stage2,074,1.0601,85
egr1,stage2,075,1.921,85
egr1,stage2,076,1.8234,85
egr1,stage2,077,1.4908,85
egr1,stage2,078,1.4388,85
egr1,stage2,079,3.1978,85
egr1,stage2,080,1.4139,85
egr1,stage2,081,1.4476,85
egr1,stage2,082,10.7958,85
egr1,stage2,083,5.7202,85
egr1,stage2,084,0.9031,85
egr1,stage2,085,1.5437,85
egr1,stage2,086,1.3193,85
egr1,stage2,087,1.963,85
egr1,stage2,088,1.7205,85
egr1,stage2,089,1.8725,85
egr1,stage2,090,1.7654,85
egr1,stage2,091,1.8304,85
egr1,stage2,092,2.2301,85
egr1,stage2,093,1.0806,85
egr1,stage2,094,1.1802,85
egr1,stage2,095,1.395,85
egr1,stage2,096,1.5292,85
egr1,stage2,097,1.8609,85
egr1,stage2,098,1.9954,85
egr1,stage3,001,0.9436,85
egr1,stage3,002,1.2051,85
egr1,stage3,003,7.4482,85
egr1,stage3,004,4.5601,85
egr1,stage3,005,1.9113,85
egr1,stage3,006,1.3017,85
egr1,stage3,007,1.7312,85
egr1,stage3,008,0.9256,85
egr1,stage3,009,1.1051,85
egr1,stage3,010,1.0517,85
egr1,stage3,011,1.2455,85
egr1,stage3,012,1.6878,85
egr1,stage3,013,1.9978,85
egr1,stage3,014,1.1944,85
egr1,stage3,015,2.5695,85
egr1,stage3,016,1.5317,85
egr1,stage3,017,1.2786,85
egr1,stage3,018,1.1303,85
egr1,stage3,019,1.4367,85
egr1,stage3,020,0.797,85
egr1,stage3,021,1.4703,85
egr1,stage3,022,1.1591,85
egr1,stage3,023,1.7403,85
egr1,stage3,024,0.995,85
egr1,stage3,025,1.2925,85
egr1,stage3,026,1.6431,85
egr1,stage3,027,3.0008,85
egr1,stage3,028,1.502,85
egr1,stage3,029,1.3865,85
egr1,stage3,030,1.677,85
egr1,stage3,031,1.5599,85
egr1,stage3,032,1.0147,85
egr1,stage3,033,2.3421,85
egr1,stage3,034,1.8553,85
egr1,stage3,035,7.2388,85
egr1,stage3,036,1.3991,85
egr1,stage3,037,1.1479,85
egr1,stage3,038,1.2531,85
egr1,stage3,039,1.3491,85
egr1,stage3,040,2.5543,85
egr1,stage3,041,1.731,85
egr1,stage3,042,1.172,85
egr1,stage3,043,1.3486,85
egr1,stage3,044,1.8875,85
egr1,stage3,045,3.3691,85
egr1,stage3,046,1.0348,85
egr1,stage3,047,1.2991,85
egr1,stage3,048,2.2298,85
egr1,stage3,049,2.5112,85
egr1,stage3,050,1.3448,85
egr1,stage3,051,1.3581,85
egr1,stage3,052,1.7495,85
egr1,stage3,053,1.6277,85
egr1,stage3,054,0.8748,85
egr1,stage3,055,1.1048,85
egr1,stage3,056,2.9297,85
egr1,stage3,057,1.9577,85
egr1,stage3,058,0.9127,85
egr1,stage3,059,1.7246,85
egr1,stage3,060,2.6651,85
egr1,stage3,061,2.2141,85
egr1,stage3,062,1.1052,85
egr1,stage3,063,1.0784,85
egr1,stage3,064,1.6153,85
egr1,stage3,065,2.0113,85
egr1,stage3,066,1.3806,85
egr1,stage3,067,0.9493,85
egr1,stage3,068,1.6414,85
egr1,stage3,069,12.5222,85
egr1,stage3,070,5.2017,85
egr1,stage3,071,0.9771,85
egr1,stage3,072,9.6337,85
egr1,stage3,073,1.07,85
egr1,stage3,074,1.0407,85
egr1,stage3,075,1.908,85
egr1,stage3,076,1.7998,85
egr1,stage3,077,1.4762,85
egr1,stage3,078,1.4247,85
egr1,stage3,079,3.1586,85
egr1,stage3,080,1.4071,85
egr1,stage3,081,1.4402,85
egr1,stage3,082,10.8618,85
egr1,stage3,083,5.6984,85
egr1,stage3,084,0.8912,85
egr1,stage3,085,1.518,85
egr1,stage3,086,1.2787,85
egr1,stage3,087,1.9547,85
egr1,stage3,088,1.7058,85
egr1,stage3,089,1.8617,85
egr1,stage3,090,1.7355,85
egr1,stage3,091,1.8164,85
egr1,stage3,092,2.2281,85
egr1,stage3,093,1.0806,85
egr1,stage3,094,1.152,85
egr1,stage3,095,1.3799,85
egr1,stage3,096,1.52,85
egr1,stage3,097,1.8486,85
egr1,stage3,098,1.9652,85
foxa,stage2,001,2.3428,102
foxa,stage2,002,4.1527,102
foxa,stage2,003,3.3278,102
foxa,stage2,004,1.8008,102
foxa,stage2,005,8.3181,102
foxa,stage2,006,6.9097,102
foxa,stage2,007,5.8969,102
foxa,stage2,008,2.7656,102
foxa,stage2,009,3.2253,102
foxa,stage2,010,10.9722,102
foxa,stage2,011,5.8461,102
foxa,stage2,012,7.4137,102
foxa,stage2,013,6.1106,102
foxa,stage2,014,5.0449,102
foxa,stage2,015,2.094,102
foxa,stage2,016,3.434,102
foxa,stage2,017,6.003,102
foxa,stage2,018,8.9993,102
foxa,stage2,019,6.3031,102
foxa,stage2,020,3.2165,102
foxa,stage2,021,4.0966,102
foxa,stage2,022,3.5329,102
foxa,stage2,023,3.496,102
foxa,stage2,024,5.3802,102
foxa,stage2,025,4.8431,102
foxa,stage2,026,5.4939,102
foxa,stage2,027,7.2938,102
foxa,stage2,028,3.1169,102
foxa,stage2,029,5.0432,102
foxa,stage2,030,2.4912,102
foxa,stage2,031,2.2171,102
foxa,stage2,032,5.3749,102
foxa,stage2,033,3.3906,102
foxa,stage2,034,2.4121,102
foxa,stage2,035,9.8244,102
foxa,stage2,036,5.631,102
foxa,stage2,037,3.4277,102
foxa,stage2,038,5.3105,102
foxa,stage2,039,3.9808,102
foxa,stage2,040,2.7906,102
foxa,stage2,041,3.2669,102
foxa,stage2,042,4.4573,102
foxa,stage2,043,2.5365,102
foxa,stage2,044,7.5076,102
foxa,stage2,045,2.5211,102
foxa,stage2,046,6.4437,102
foxa,stage2,047,5.5826,102
foxa,stage2,048,1.8343,102
foxa,stage2,049,3.1414,102
foxa,stage2,050,4.8876,102
foxa,stage2,051,2.0253,102
foxa,stage2,052,5.0608,102
foxa,stage2,053,3.8537,102
foxa,stage2,054,4.0065,102
foxa,stage2,055,4.1938,102
foxa,stage2,056,6.6215,102
foxa,stage2,057,5.2578,102
foxa,stage2,058,3.9663,102
foxa,stage2,059,3.7562,102
foxa,stage2,060,5.4265,102
foxa,stage2,061,2.6831,102
foxa,stage2,062,5.6568,102
foxa,stage2,063,3.1265,102
foxa,stage2,064,4.3888,102
foxa,stage2,065,2.8562,102
foxa,stage2,066,6.5422,102
foxa,stage2,067,2.4911,102
foxa,stage2,068,2.2152,102
foxa,stage2,069,3.5863,102
foxa,stage2,070,5.7986,102
foxa,stage2,071,4.1693,102
foxa,stage2,072,3.6833,102
foxa,stage2,073,4.0392,102
foxa,stage2,074,6.6077,102
foxa,stage2,075,1.9437,102
foxa,stage2,076,5.4652,102
foxa,stage2,077,5.5066,102
foxa,stage2,078,3.9102,102
foxa,stage2,079,2.0833,102
foxa,stage2,080,3.2983,102
foxa,stage2,081,2.5746,102
foxa,stage2,082,6.9683,102
foxa,stage2,083,3.2853,102
foxa,stage2,084,2.5114,102
foxa,stage2,085,5.4296,102
foxa,stage2,086,12.2901,102
foxa,stage2,087,3.6051,102
foxa,stage2,088,3.5021,102
foxa,stage2,089,2.5306,102
foxa,stage2,090,4.161,102
foxa,stage2,091,5.156,102
foxa,stage2,092,2.7316,102
foxa,stage3,001,2.333,102
foxa,stage3,002,4.1123,102
foxa,stage3,003,3.3065,102
foxa,stage3,004,1.785,102
foxa,stage3,005,8.3917,102
foxa,stage3,006,6.9032,102
foxa,stage3,007,5.8871,102
foxa,stage3,008,2.7232,102
foxa,stage3,009,3.2016,102
foxa,stage3,010,11.0385,102
foxa,stage3,011,5.7919,102
foxa,stage3,012,7.4365,102
foxa,stage3,013,6.1746,102
foxa,stage3,014,5.0289,102
foxa,stage3,015,2.0616,102
foxa,stage3,016,3.4292,102
foxa,stage3,017,5.9951,102
foxa,stage3,018,9.0358,102
foxa,stage3,019,6.3175,102
foxa,stage3,020,3.2024,102
foxa,stage3,021,4.0933,102
foxa,stage3,022,3.5244,102
foxa,stage3,023,3.4899,102
foxa,stage3,024,5.4366,102
foxa,stage3,025,4.8262,102
foxa,stage3,026,5.4917,102
foxa,stage3,027,7.2577,102
foxa,stage3,028,3.1393,102
foxa,stage3,029,5.0487,102
foxa,stage3,030,2.4787,102
foxa,stage3,031,2.2033,102
foxa,stage3,032,5.362,102
foxa,stage3,033,3.4253,102
foxa,stage3,034,2.4039,102
foxa,stage3,035,9.8356,102
foxa,stage3,036,5.568,102
foxa,stage3,037,3.4343,102
foxa,stage3,038,5.3005,102
foxa,stage3,039,4.0217,102
