pilot,entry,base_pearsonr,aug_pearsonr,base_spearmanr,aug_spearmanr,base_auroc,aug_auroc,base_ic_weighted_pcc,aug_ic_weighted_pcc,base_mae,aug_mae
engrailed,5lty_M_MA0465.2.jaspar.npz,0.7775464297815536,0.7550242389746321,0.6766666666666666,0.6166666666666667,0.92,0.92,0.5930746400263868,0.5506146394612637,0.528469185034434,0.48709266384442645
engrailed,5und_A_MA1930.1.jaspar.npz,0.33328350225958275,0.30823223675216765,0.308,0.30066666666666664,0.713848296520254,0.7120093922342599,0.4547884692895221,0.40453779240641113,0.6276708741982778,0.7044193148612976
engrailed,5und_B_MA1930.1.jaspar.npz,0.38138236735497794,0.41924250844338373,0.3152173913043479,0.3550724637681159,0.7825595924644366,0.7809269404929727,0.45445678975231396,0.45948468820033356,0.6396360546350479,0.6612342794736227
engrailed,5vmu_A_KAISO_HUMAN.H11MO.0.A.npz,0.6111005450710999,0.7024250904807424,0.4820054028680318,0.6075820478695909,0.8827083333333334,0.9036458333333334,0.41687110184503623,0.452635765354473,0.6911075562238693,0.5925811181465784
engrailed,5vmv_A_KAISO_HUMAN.H11MO.0.A.npz,0.4350607597752418,0.475244133527612,0.35483122984720933,0.4295654045749923,0.8185493827160494,0.827283950617284,0.37522029497197523,0.3873289016470676,0.8245776196320852,0.7772552172342936
engrailed,5vpf_B_JUND_HUMAN.H11MO.0.A.npz,0.7643608341588535,0.7318306551126255,0.5293343866129915,0.5000052711688587,0.875,0.866898148148148,0.642235018260127,0.6468593845574498,0.5432903468608856,0.6420913288990656
engrailed,5yef_B_MA1930.1.jaspar.npz,0.5669066443108561,0.5177297254105926,0.5537037037037037,0.5462962962962963,0.8016074950690335,0.7937442472057857,0.4596854456011834,0.4246825465014874,0.6306460499763489,0.6741403887669245
engrailed,5yef_G_MA1930.1.jaspar.npz,0.48418054387514503,0.41973281167277793,0.46388888888888885,0.43796296296296305,0.7545989480604866,0.725568704799474,0.43453295164006245,0.3877508076177351,0.6818528970082601,0.7460455397764841
engrailed,5yef_J_CTCF_HUMAN.H11MO.0.A.npz,0.6010664587187681,0.5522401900662296,0.5368141033736319,0.5246352349560632,0.8175154320987654,0.787326388888889,0.4933164570577752,0.4312108053309278,0.6774434049924215,0.7195037305355072
engrailed,5z2t_D_DUX4_HUMAN.H11MO.0.A.npz,0.2438146842022737,0.29852358874438023,0.27661193608488727,0.39348771047410147,0.6167485512723608,0.6500692869740489,0.2008201033290186,0.20343647138116772,1.1161970098813374,1.0929390887419383
engrailed,6a8r_A_DUX4_HUMAN.H11MO.0.A.npz,0.6026465661157999,0.45281155660413797,0.5489696550892794,0.46941238512592554,0.8664965986394558,0.7925485008818343,0.5454380502271734,0.37554263910779556,0.7487111985683441,0.8765456279118856
engrailed,6b0q_A_WT1_HUMAN.H11MO.0.C.npz,0.6495922720480141,0.6276331922018908,0.44629629629629636,0.39999999999999997,0.6590711805555557,0.7248263888888888,0.5248499515429573,0.5204663225952172,0.5389498323202133,0.5676017105579376
engrailed,6byy_A_MA0660.1.jaspar.npz,0.7444807714265255,0.7627216769399604,0.7456623240249951,0.7000158228385626,0.9531249999999999,0.9615885416666666,0.6774995105901326,0.7302845681422642,0.5209271957476934,0.5490098744630814
engrailed,6byy_A_MEF2A_HUMAN.H11MO.0.A.npz,0.6567208580069106,0.6762532197559873,0.724074074074074,0.687037037037037,0.9118923611111112,0.9210069444444443,0.5168848160245686,0.5165261024677923,0.6411687930425009,0.6620488365491232
engrailed,6byy_B_MA0660.1.jaspar.npz,0.7444807685592592,0.7627216528549239,0.7456623240249951,0.7000158228385626,0.9531249999999999,0.9615885416666666,0.6774995093379075,0.7302845537012087,0.5209271957476934,0.5490099042654037
engrailed,6byy_D_MA0660.1.jaspar.npz,0.8340207706468289,0.7920756053645164,0.6335494989622272,0.6064183678965822,0.8602430555555557,0.8743489583333334,0.7300698748369228,0.6702992277411335,0.3851005087296168,0.5039622684319814
engrailed,6dfc_A_MA0527.1.jaspar.npz,0.6160070534651388,0.6531060039823864,0.49242830708265745,0.5864567199036804,0.8855555555555555,0.8395833333333332,0.5048511373306828,0.5422690732241967,0.6282417426506678,0.6124511162439982
engrailed,6dfy_C_MA0468.1.jaspar.npz,0.601055272615243,0.6455688834694836,0.447320483485397,0.5734613497546638,0.9070644718792868,0.90860768175583,0.6650775575139379,0.6841093472584712,0.7824682593345642,0.756279875834783
engrailed,6dfy_D_DUX4_HUMAN.H11MO.0.A.npz,0.6343521768144758,0.6805845764174592,0.46046026358158515,0.5390857749982197,0.8449546485260772,0.8960380448475687,0.6667864603804093,0.6787144696944543,0.7999930580457052,0.7581712007522583
engrailed,6dks_C_SUH_MOUSE.H11MO.0.A.npz,0.6783281292494697,0.7465271080339638,0.5145833333333333,0.5541666666666666,0.9401041666666665,0.9661458333333334,0.5197712568077234,0.5803236991915599,0.48513734837373096,0.4350702166557312
engrailed,6dks_G_SUH_MOUSE.H11MO.0.A.npz,0.6870519521835377,0.7061476338494685,0.4979166666666666,0.5375,0.9114583333333334,0.9435763888888888,0.5001157321471146,0.5516794078663547,0.5088320771853129,0.49897003173828125
engrailed,6fbq_A_MA0065.1.jaspar.npz,0.6306976706522013,0.6313384341982393,0.5104456927303139,0.5642679736480131,0.8622448979591838,0.860827664399093,0.6316859145613997,0.5637867959841055,0.571802352865537,0.599345068136851
engrailed,6fbr_B_RXRA_HUMAN.H11MO.0.A.npz,0.6904699490998475,0.6681892971952307,0.5518518518518518,0.5018518518518519,0.9094444444444445,0.8694444444444445,0.34300139074506947,0.2888613543333287,0.7244764467080435,0.7420352101325989
engrailed,6fj5_A_P53_HUMAN.H11MO.0.A.npz,0.29628356107811366,0.3958137776050232,0.16416666666666666,0.29,0.6092785493827161,0.6842447916666666,0.12089553281225975,0.16088469521981083,0.9717980325222015,0.944711317618688
engrailed,6fj5_C_P53_HUMAN.H11MO.0.A.npz,0.2962835634898511,0.3958137897626633,0.16416666666666666,0.29,0.6092785493827161,0.6842447916666666,0.12089553702088662,0.1608847012256324,0.9717980126539866,0.9447113474210104
engrailed,6fj5_D_P53_HUMAN.H11MO.0.A.npz,0.2962835754415816,0.3958137752182666,0.16416666666666666,0.29,0.6092785493827161,0.6842447916666666,0.12089553857025954,0.1608846938377451,0.9717980027198792,0.9447113275527954
engrailed,6lbi_C_FOXO1_HUMAN.H11MO.0.A.npz,0.7653084457303754,0.8149374483129895,0.4404761904761905,0.4976190476190477,0.9679166666666666,0.9745833333333334,0.44433025473937016,0.4963335060996328,0.49168363213539124,0.47198059658209485
