tf,stage,variant,comparison,atom_subset,n_states,median_A,q25_A,q75_A,iqr_A,min_A,max_A
dux4,3,metal_cage,vs_reference,total,92,15.966340814531709,15.040472828170103,16.82933615580386,1.7888633276337558,10.667811487694493,20.451119565293435
egr1,0,shared,vs_reference,backbone,98,1.575700015529275,1.2735000328568806,1.9753127753528221,0.7018127424959415,0.8845351452481526,12.480119957633045
egr1,0,shared,vs_reference,interface,98,1.2665628666898123,1.066279131198427,1.6814921007237316,0.6152129695253046,0.6375671598319246,11.161162659044424
egr1,0,shared,vs_reference,sidechain,98,1.6832367734882165,1.3436721240231584,2.0478408243908155,0.7041687003676571,0.9112813272327019,12.69314338768978
egr1,0,shared,vs_reference,total,98,1.594504590915266,1.2830265199675444,2.012815970061915,0.7297894500943707,0.8907110291181792,12.525862630960088
egr1,1,shared,delta_stage0_to_stage1,backbone,98,6.153769106928515e-07,4.724965880178917e-07,7.581183269642928e-07,2.8562173894640107e-07,2.1820720512564923e-07,1.0720430661416921e-06
egr1,1,shared,delta_stage0_to_stage1,interface,98,0.005600216236418963,0.005461750940118382,0.005892712942379372,0.00043096200226099,0.0044304974802365045,0.007445311424534658
egr1,1,shared,delta_stage0_to_stage1,sidechain,98,0.01288096805016205,0.012557749033023832,0.013279060863161385,0.000721311830137553,0.011145868365919638,0.014071633304382805
egr1,1,shared,delta_stage0_to_stage1,total,98,0.00573744005445669,0.005592109904441598,0.005916882163108223,0.0003247722586666255,0.004935077482139913,0.006289704863227701
egr1,1,shared,vs_reference,backbone,98,1.575700015529275,1.2735000328568806,1.9753127753528221,0.7018127424959415,0.8845351452481526,12.480119957633045
egr1,1,shared,vs_reference,interface,98,2.0688859362392815,1.8006599359204443,2.5179864407095685,0.7173265047891242,1.490405143240501,11.35334793862153
egr1,1,shared,vs_reference,sidechain,98,2.514590567367804,2.256289674713906,3.0206087178050103,0.7643190430911044,1.803498633865738,13.362601750461934
egr1,1,shared,vs_reference,total,98,2.178627819208737,1.8591488643253289,2.564450570398793,0.7053017060734641,1.4676151543241271,12.97921053344454
